a little,অল্প-স্বল্প
abide by,মেনে চলা
abound in,প্রচুর পরিমাণে থাকা
abound with,প্রচুর পরিমাণে থাকা
above all,প্রধানত ; সর্বোপরি
above board,সংশয়হীন ভাবে নির্দোষ
above control,নিয়ন্ত্রনের বাইরে
above criticism,সমালোচনার উর্ধ্বে
above law,আইনের উর্ধ্বে
above per,অধিমূল্য
above reach,ধরাছোয়ার বাইরে
above suspicion,সকল সন্দেহের উর্ধে
absent from,অনুপস্থিত
absent minded,"মনভুলা, আনমনা"
absorbed in,নিবিষ্ট ; মগ্ন
abstract bill,সংক্ষিপ্ত বিল
abstract book,সার-নিবন্ধ
abstract form,সংক্ষিপ্ত ফরম
abstract sheet,সারপত্র
abysmally low,অসম্ভব কম
academic atmosphere,শিক্ষার পরিবেশ
academic year/session,শিক্ষাবর্ষ
accelerate growth,বৃদ্ধি ত্বরান্বিত করা
access to,প্রবেশ অধিকার
accompanied by,সঙ্গী হওয়া
accompanied with,একসঙ্গে ঘটা
according to,অনুসারে
account book,হিসাব বই
accountant general,মহাহিসাবরক্ষক
accounts assistant,হিসাব সহকারী
accounts clerk,হিসাব-কেরানি
accounts officer,হিসাবরক্ষণ কর্মকর্তা
accusatory ideas,অভিযোগের ধারনা
accused of,অভিযুক্ত
accustomed to,অভ্যস্ত
achilles heel,কোন ব্যক্তির ছোটখাট দুর্বলতা যা তার ব্যর্থতা/পতন/ধ্বংসের কারণ হতে পারে
acid test,অগ্নি পরীক্ষা
acknowledgement due,প্রাপ্তিস্বীকারপত্র
acquainted with,পরিচিত
acquit of,খালাস দেওয়া
act against,বিরুদ্ধে কাজ করা
act as,হিসেবে কাজ করা
act for,পক্ষে কাজ করা
act for[sth/sb],কারো বা কিছুর জন্য কাজ করা
act on,অনুসারে কাজ করা
act under,আদেশ অনুসারে কাজ করা
act up,বিগড়ে যাওয়া
act upon,কোন কিছু অনুসারে কাজ করা
acting appointment,সাময়িক নিয়োগ
acting editor,ভারপ্রাপ্ত সম্পাদক
active partner,সক্রিয় অংশীদার
ad nauseam,বিরক্তিকরভাবে
add to,যোগ করা
add up,"হিসাব মেলানো , যুক্তিগ্রাহ্য হওয়া"
addicted to,আসক্ত
adher to,"লেগে থাকা, মেনে চলা"
adhere to,মেনে চলা
adjacent to,সংলগ্ন
administrative officer,প্রশাসনিক কর্মকর্তা
administrative secretary,প্রশাসনিক সচিব
admission fee,ভর্তি-ফি
admit card,প্রবেশ পত্র
admit into,প্রবেশাধিকার দেওয়া
admit of,স্বীকৃতি পাওয়া
admit to,ভর্তি করা
adolescent- preteen,কিশোর - কিশোরী
adult education,বয়স্ক শিক্ষা
adult suffrage,বয়স্ক ভোটাধিকার
advance pay,অগ্রিম বেতন
adverse effects,বিরূপ প্রভাব
adverse impact,বিরূপ প্রতিক্রিয়া
advisory board,উপদেষ্টা পরিষদ
advisory council,উপদেষ্টা পরিষদ
advocate general,মহাঅ্যাডভোকেট
aesthetic reason,নান্দনিক কারণ
affection for,স্নেহ
affectionate to,স্নেহশীল
affiliations abroad,বিদেশে সংযুক্তি
afford to,সক্ষম হওয়া
affordable facilities,সাশ্রয়ী মূল্যের সুবিধা
affordable price,সাশ্রয়ী মূল্য
aforementioned crisis,উপরোক্ত সংকট
afraid of,ভীত
after all,মোটের ওপর / সর্বোপরি
after that,তারপর
aftermath of,পরিণাম
agree on,একমত হওয়া (নির্দিষ্ট বিষয়)
agree to,একমত হওয়া (প্রস্তাব)
agree with,একমত হওয়া (ব্যক্তি)
agricultural bank,কৃষি ব্যাঙ্ক
agricultural production,কৃষি উৎপাদন
agro-based industries,কৃষিভিত্তিক
aid effort,ত্রাণ তৎপরত
aim at,লক্ষ্য করা
air base,বিমান ঘাঁটি
air force,বিমানবাহিনী
air hostess,বিমানবালা/বিমান-সেবিকা
air marshal,বিমানবাহিনীর সেনাপতি
air pollution,বায়ুদূষণ
alarmed at,আতঙ্কিত
alarming rise,মারাত্মকভাবে বৃদ্ধি
alarming rumor,ভীতিক গুজব
alarming rumour,ভীতিকর গুজব
albeit belated,যদিও বিলম্বিত
albeit futilely,নিখুঁতভাবে যদিও
all along,আগাগোড়া
all but,প্রায়
all contacts,সকল যোগযোগ
all eater,সর্বভুক
all for,একান্ত ব্যাগ্র
all greek,দুর্বোধ্য
all in,পরিশ্রান্ত
all moonshine,অবান্তর কথা বা চিন্তা
all right,ঠিক আছে
alleged abuse,অপব্যবহারের অভিযোগ
alleged perpetrator,কথিত অপরাধী
allot to,বিলি করা
along with,সঙ্গে বা সাথে
aloof from,দূরে থাকা
alternative to,বিকল্প
ambition for,উচ্চাকাঙ্খা
ambivalent attitude,পরস্পরবিরোধীমনোভাব
amid cheers,আনন্দের মধ্য দিয়া
ancestral home,পৈতৃক নিবাস
anecdotal evidence,অকল্পনীয় প্রমাণ
angry at,রাগান্বিত (কারো আচরণ)
angry for,রাগান্বিত (কোন কিছু)
angry with,রাগান্বিত (ব্যক্তি)
animal husbandry,পশুপালন বিদ্যা
annoyed for,বিরক্ত (কোন কিছু)
annoyed with,বিরক্ত (ব্যক্তি)
annual budget,বার্ষিক বাজেট
annual increment,বার্ষিক
annual return,বার্ষিক বিবরণ
answer for,"দায়ী হওয়া, জবাবদিহি করা"
anti democracy,বিরোধী গণতন্ত্র
anti democratic,বিরোধী গণতান্ত্রিক
anti democratically,বিরোধী গণতান্ত্রিকভাবে
anti demonic,বিরোধী ভূতগ্রস্ত
anti detonation,বিরোধী বিস্ফোরণ
anti dictionary,বিরোধী অভিধান
anti differentiation,বিরোধী বিভেদ
anti diffuser,বিরোধী ছড়িয়ে
anti dilution,বিরোধী তরলীকরণ
anti disciplinarian,বিরোধী শাস্তিমূলক
anti divorce,বিরোধী বিবাহবিচ্ছেদ
anti dogmatic,বিরোধী মতবাদ
anti dogmatically,বিরোধী ধর্মমত
anti dogmatism,বিরোধী গোঁড়ামি
anti domestic,বিরোধী গার্হস্থ্য
anti domestically,বিরোধী ঘরোয়া
anti dominican,বিরোধী ডোমিনিকান
anti draft,বিরোধী খসড়া
anti dragon,বিরোধী ড্রাগন
anti drug,মাদক বিরোধী
anti dumping,বিরোধী ডাম্পিং
anti dynamic,বিরোধী গতিশীল
anti dynastic,বিরোধী রাজবংশীয়
anti dynasty,বিরোধী রাজবংশ
anti ecclesiastical,বিরোধী যাজকীয়
anti education,বিরোধী শিক্ষা
anti educationally,বিরোধী শিক্ষাগতভাবে
anti educationist,বিরোধী শিক্ষাবিদ
anti egoism,বিরোধী অহমিকা
anti egoist,বিরোধী আত্মম্ভরী
anti egoistic,বিরোধী আত্মপর
anti egotism,বিরোধী অস্মিতা
anti egotist,বিরোধী আত্মশ্লাঘী
anti egotistic,বিরোধী অহমিকাযুক্ত
anti egotistical,বিরোধী আত্মম্ভরি
anti electrons,বিরোধী ইলেকট্রন
anti emperor,বিরোধী সম্রাট
anti empiric,বিরোধী প্রয়োগিক
anti empirical,বিরোধী গবেষণামূলক
anti empirically,বিরোধী প্রায়োগিক
anti empiricism,বিরোধী অভিজ্ঞতাবাদ
anti empiricist,বিরোধী প্রয়োগবাদী
anti enthusiasm,বিরোধী উদ্যম
anti enthusiastic,বিরোধী উত্সাহী
anti enthusiastically,বিরোধী উদ্যমের
anti environmentalism,বিরোধী পরিবেশবাদ
anti environmentalist,বিরোধী পরিবেশবাদী
anti enzymatic,বিরোধী এনজাইমের
anti enzyme,বিরোধী এনজাইম
anti epicenter,বিরোধী উপকেন্দ্র
anti epithelial,বিরোধী এপিথেলিয়াল
anti erosion,বিরোধী ক্ষয়
anti erosive,বিরোধী ক্ষয়কারক
anti erysipelas,বিরোধী বাতবিসর্পরোগ
anti establishment,বিরোধী প্রতিষ্ঠার
anti ethnic,বিরোধী জাতিগত
anti eugenic,বিরোধী সুপ্রজননসংক্রান্ত
anti evangelical,বিরোধী ধর্মপ্রচারক
anti evolution,বিরোধী বিবর্তন
anti evolutionary,বিরোধী বিবর্তনীয়
anti evolutionist,বিরোধী বিবর্তনবাদী
anti expansion,বিরোধী সম্প্রসারণ
anti expansionist,বিরোধী সম্প্রসারণবাদী
anti exporting,বিরোধী এক্সপোর্ট
anti expressionism,বিরোধী অভিব্যক্তিবাদ
anti expressionist,বিরোধী এক্ষ্প্রেশোনিস্ত
anti expressive,বিরোধী ভাবপূর্ণ
anti expressively,বিরোধী অর্থপূর্ণ
anti extreme,বিরোধী চরম
anti fanatic,বিরোধী ধর্মান্ধ
anti fat,বিরোধী চর্বি
anti federal,বিরোধী যুক্তরাষ্ট্রীয়
anti federalist,বিরোধী ফেডারেল
anti felon,বিরোধী নৃশংস
anti felony,বিরোধী অপরাধে
anti feminism,বিরোধী নারীবাদ
anti ferment,বিরোধী উত্তেজিত করা
anti fertilizer,বিরোধী সার
anti feudal,বিরোধী সামন্ততান্ত্রিক
anti feudalism,বিরোধী সামন্তবাদ
anti fire,বিরোধী আগুন
anti flash,বিরোধী ফ্ল্যাশ
anti freezing,বিরোধী জমাকৃত
anti friction,ঘর্ষণ বিরোধী
anti frost,বিরোধী তুষারপাত
anti fundamentalism,বিরোধী মৌলবাদ
anti fundamentalist,বিরোধী মৌলবাদী
anti gambling,বিরোধী জুয়া
anti gay,বিরোধী গে
anti glare,বিরোধী একদৃষ্টি
anti government,সরকার বিরোধী
anti graft,বিরোধী দুর্নীতি
anti grammatically,বিরোধী ব্যাকরণগতভাবে
anti gravity,বিরোধী মাধ্যাকর্ষণ
anti growth,বিরোধী বৃদ্ধি
anti gun,বিরোধী বন্দুক
anti harmonist,বিরোধী সুরবিশারদ
anti hemisphere,বিরোধী গোলার্ধ
anti hero,বিরোধী নায়ক
anti heroes,বিরোধী হিরো
anti heroic,বিরোধী বীরত্বপূর্ণ
anti heroism,বিরোধী বীরত্ব
anti hierarchies,বিরোধী শ্রেণীবিন্যাসের
